FEATURE_ID,FEATURE_NAME,FEATURE_CLASS,STATE_ALPHA,COUNTY_NAME,PRIM_LAT_DEC,PRIM_LONG_DEC,ELEV_IN_M,MAP_NAME
598687,Saint Josephs Cemetery,Cemetery,MA,Berkshire,42.4746046,-73.2575823,324,Pittsfield West
598688,Highland Elementary School,School,MA,Berkshire,42.4806396,-73.2606603,354,Pittsfield West
598689,Love of Peace Cemetery,Cemetery,MA,Berkshire,42.49932,-73.2824007,367,Pittsfield West
598690,Hancock Cemetery,Cemetery,MA,Berkshire,42.5490484,-73.3101641,342,Hancock
598691,Balance Rock State Park,Park,MA,Berkshire,42.5084167,-73.2745496,380,Hancock
598692,Hancock Central School,School,MA,Berkshire,42.5773042,-73.2989957,382,Hancock
598693,Forbush Wildlife Sanctuary,Park,MA,Berkshire,42.616748,-73.3037188,536,Hancock
598694,South Lee Cemetery,Cemetery,MA,Berkshire,42.2720785,-73.2554308,264,Stockbridge
598695,The Marian Fathers Monastery,Church,MA,Berkshire,42.2903651,-73.3120526,315,Stockbridge
598696,Stockbridge Plains School,School,MA,Berkshire,42.2814764,-73.3084415,257,Stockbridge
598697,Stockbridge Cemetery,Cemetery,MA,Berkshire,42.2856359,-73.3189989,256,Stockbridge
598698,Saint Josephs Cemetery,Cemetery,MA,Berkshire,42.2861357,-73.3221193,253,Stockbridge
598699,Saint Marys Cemetery,Cemetery,MA,Berkshire,42.3081655,-73.2636553,316,Stockbridge
598700,Fox Hollow School,School,MA,Berkshire,42.3236978,-73.281218,345,Stockbridge
598701,Rockwood Academy,School,MA,Berkshire,42.3320309,-73.2870514,340,Stockbridge
598702,Stockbridge School,School,MA,Berkshire,42.3292532,-73.3481644,413,Stockbridge
598703,Cranwell School,School,MA,Berkshire,42.3400864,-73.2662174,375,Stockbridge
598704,Immaculate Heart Seminary,School,MA,Berkshire,42.3445307,-73.27844,354,Stockbridge
598705,Berkshire Christian College,School,MA,Berkshire,42.3445307,-73.2898292,371,Stockbridge
598706,Lenox School,School,MA,Berkshire,42.3484195,-73.2834401,357,Stockbridge
598707,Palmer Cemetery,Cemetery,MA,Berkshire,42.0888548,-73.2283923,345,South Sandisfield
598708,Montville Cemetery,Cemetery,MA,Berkshire,42.1164351,-73.1359012,448,South Sandisfield
598709,Historic Valley Park,Park,MA,Berkshire,42.6834155,-73.0939919,274,North Adams
598710,Florida State Forest,Forest,MA,Berkshire,42.65425,-73.0203784,445,North Adams
598711,New State Cemetery,Cemetery,MA,Berkshire,42.6335324,-73.025252,571,North Adams
598712,Abbott Memorial School,School,MA,Berkshire,42.6756385,-73.0370458,517,North Adams
598713,Clarksburg Cemetery,Cemetery,MA,Berkshire,42.735381,-73.0683734,333,North Adams
598714,Maple Street Cemetery,Cemetery,MA,Berkshire,42.626212,-73.1219317,256,North Adams
598715,Adams Junior High School,School,MA,Berkshire,42.6278606,-73.117603,243,North Adams
598716,Howland Avenue School,School,MA,Berkshire,42.6459158,-73.1120475,228,North Adams
598717,Charles McCann Vocational Technical School,School,MA,Berkshire,42.6639713,-73.1009363,221,North Adams
598718,Southview Cemetery,Cemetery,MA,Berkshire,42.6717862,-73.1001498,227,North Adams
598719,Saint Josephs Cemetery,Cemetery,MA,Berkshire,42.6746091,-73.0962969,234,North Adams
598720,J S Sullivan School,School,MA,Berkshire,42.6945263,-73.0989921,302,North Adams
598721,Hopkins School,School,MA,Berkshire,42.6928597,-73.1037146,222,North Adams
598722,Notre Dame School,School,MA,Berkshire,42.697304,-73.1073258,224,North Adams
598723,Hillside Cemetery,Cemetery,MA,Berkshire,42.7003545,-73.1225115,217,North Adams
598724,Johnson School,School,MA,Berkshire,42.7042483,-73.1184373,223,North Adams
598725,Beth Israel Cemetery,Cemetery,MA,Berkshire,42.7109098,-73.0819689,332,North Adams
598726,Advent Cemetery,Cemetery,MA,Berkshire,42.7095784,-73.120711,333,North Adams
598727,Clarksburg Elementary School,School,MA,Berkshire,42.7189704,-73.1037149,321,North Adams
598728,Beech Plain Cemetery,Cemetery,MA,Berkshire,42.1707983,-73.0961139,456,Otis
598729,Otis Ridge Ski Area,Locale,MA,Berkshire,42.195923,-73.0995495,389,Otis
598730,Becket State Forest,Forest,MA,Berkshire,42.2667551,-73.0287135,388,Becket
598731,Jacobs Pillow School and Theater,School,MA,Berkshire,42.263977,-73.1176041,505,Becket
598732,Middlefield State Forest,Forest,MA,Hampshire,42.3542539,-73.0412126,476,Becket
598733,Middlefield School,School,MA,Hampshire,42.3445319,-73.0095454,506,Becket
598734,Middlefield Center Cemetery,Cemetery,MA,Hampshire,42.3556967,-73.0043246,492,Becket
598735,Mount Saint Lawrence Novitiate,School,MA,Berkshire,42.3348095,-73.07038,410,Becket
598736,Washington School,School,MA,Berkshire,42.3736976,-73.1162139,464,Becket
598737,Washington Cemetery,Cemetery,MA,Berkshire,42.3725424,-73.1212298,488,Becket
598738,Saint Stanislaus School,School,MA,Berkshire,42.6245273,-73.1128805,246,Windsor
598739,Plunkett Elementary School,School,MA,Berkshire,42.6189718,-73.1203807,247,Windsor
598740,Bellevue Cemetery,Cemetery,MA,Berkshire,42.6029691,-73.1244799,300,Windsor
598741,Crane School,School,MA,Berkshire,42.5111961,-73.0578779,620,Windsor
598742,Shaw Cemetery,Cemetery,MA,Berkshire,42.5009183,-73.0045764,551,Windsor
598743,The Tomb Cemetery,Cemetery,MA,Berkshire,42.5746984,-73.0472171,567,Windsor
598744,Savoy Mountain State Forest,Forest,MA,Berkshire,42.600084,-73.0245447,731,Windsor
598745,Stafford Hill Wildlife Management Area,Park,MA,Berkshire,42.570917,-73.1078797,479,Windsor
598746,Hoosac Valley Middle and High School,School,MA,Berkshire,42.5944015,-73.1154671,355,Windsor
598747,Saint Stanislaus Kostka Cemetery,Cemetery,MA,Berkshire,42.6010808,-73.1154467,357,Windsor
598748,Pittsfield State Watershed Area,Park,MA,Berkshire,42.4084189,-73.1912151,425,Pittsfield East
598749,October Mountain State Forest,Forest,MA,Berkshire,42.3500866,-73.1745486,561,East Lee
598750,North Norfolk Chapel,Church,MA,Berkshire,42.0445371,-73.2240016,373,South Sandisfield
598751,Town of New Ashford,Civil,MA,Berkshire,42.6086712,-73.2240204,489,Cheshire
598752,Schermerhorn Park,Park,MA,Berkshire,42.3495306,-73.2784399,360,Stockbridge
598753,Tanglewood,Populated Place,MA,Berkshire,42.3473084,-73.3092742,333,Stockbridge
598754,Chopin Pond,Lake,MA,Hampden,42.1873154,-72.4431405,105,Ludlow
598755,Hopkins Memorial Forest,Forest,MA,Berkshire,42.7334129,-73.2512194,398,Berlin
598756,Skinner State Park,Park,MA,Hampshire,42.3045348,-72.5884223,135,Mount Holyoke
598757,Charles J Prescott School,School,MA,Norfolk,42.1750988,-71.1819968,22,Norwood
598758,Legion Park,Park,MA,Norfolk,42.1878765,-71.202831,37,Norwood
598759,Eliot Park,Park,MA,Norfolk,42.1764876,-71.2036642,18,Norwood
598760,Norwood Junior High School,School,MA,Norfolk,42.1884319,-71.2036644,39,Norwood
598761,Balch Elementary School,School,MA,Norfolk,42.175,-71.2080556,21,Norwood
598762,Morrill Memorial Library,Building,MA,Norfolk,42.1914875,-71.2036644,51,Norwood
598763,Saint Catherines School,School,MA,Norfolk,42.1959319,-71.2006088,43,Norwood
598764,Cornelius M Callahan School,School,MA,Norfolk,42.1953765,-71.1906085,41,Norwood
598765,Old Parish Cemetery,Cemetery,MA,Norfolk,42.1964789,-71.1983859,46,Norwood
598766,Norwood Townhall,Building,MA,Norfolk,42.1953764,-71.1994977,41,Norwood
598767,Oldham School,School,MA,Norfolk,42.2042653,-71.2042201,54,Norwood
598768,Shattuck School,School,MA,Norfolk,42.1978764,-71.20422,56,Norwood
